activity,resource,n,n_clean,n_outliers,outlier_rate,mean,std,median,min,max,mean_clean,std_clean,planned,service_time,queue_time,failures,q1,q3,iqr,lower_fence,upper_fence
/dm/cylindrical_drill,dm_2,4,3,1,0.25,30.81725001335144,2.652927994807907,31.77400004863739,26.906999826431274,32.81400012969971,32.12066674232483,0.6030500827021965,47.0,34.39063675,3.57338673664856,0,30.51524990797043,32.0760001540184,1.5607502460479736,28.174124538898468,34.41712552309036
/dm/lower,dm_2,4,4,0,0.0,13.933750033378601,0.10613626559748494,13.94599997997284,13.814000129699707,14.029000043869019,13.933750033378601,0.10613626559748494,14.0,18.2734365,4.339686466621399,0,13.859750032424927,14.019999980926514,0.16024994850158691,13.619375109672546,14.260374903678894
/hbw/get_empty_bucket,hbw_1,15,13,2,0.13333333333333333,39.40259998639424,5.109965715235873,37.25,33.59400010108948,51.7189998626709,37.74469230725215,2.7812939466633297,46.0,46.562516066666674,7.159916080272421,0,36.88199996948242,40.27849996089935,3.396499991416931,31.787249982357025,45.37324994802475
/hbw/store,hbw_1,14,14,0,0.0,37.729571444647654,2.797556574037946,37.20399987697601,33.76800012588501,42.229000091552734,37.729571444647654,2.797556574037946,46.0,42.38454292857143,4.6549714839237755,0,35.68775010108948,39.21875,3.5309998989105225,30.391250252723694,44.515249848365784
/hbw/store_empty_bucket,hbw_1,1,1,0,0.0,37.295000076293945,0.0,37.295000076293945,37.295000076293945,37.295000076293945,37.295000076293945,0.0,46.0,169.843749,132.54874892370606,0,37.295000076293945,37.295000076293945,0.0,37.295000076293945,37.295000076293945
/hbw/store_empty_bucket,hbw_2,36,35,1,0.027777777777777776,36.94088890155157,5.852565296673273,37.343000054359436,9.297999858856201,44.34400010108948,37.73068573134286,3.4847425365056846,47.0,43.708788722222224,6.767899820670658,2,34.38250005245209,40.42925000190735,6.046749949455261,25.312375128269196,49.49937492609024
/hbw/unload,hbw_2,38,36,2,0.05263157894736842,37.775584490675676,10.610621991208625,38.2960000038147,0.01557302474975586,52.35700011253357,39.87336115042368,5.746054286423284,52.0,424.5961915263158,386.82060703564014,2,35.38650006055832,43.91150015592575,8.525000095367432,22.59899991750717,56.6990002989769
/hw/human_review,hw_1,30,25,5,0.16666666666666666,16.735399993260703,27.985858902606875,2.2960000038146973,0.0,98.14299988746643,5.8233199882507325,9.215415984840378,102.0,20.889428199999998,4.154028206739299,0,0.6589999794960022,15.583749890327454,14.924749910831451,-21.728124886751175,37.97087475657463
/mm/deburr,mm_1,21,18,3,0.14285714285714285,14.407380932853336,0.6656799745971743,14.217999935150146,13.842999935150146,16.450000047683716,14.167333324750265,0.17631655956689626,14.0,20.594473428571426,6.187092495718094,0,14.062000036239624,14.437999963760376,0.37599992752075195,13.498000144958496,15.001999855041504
/mm/deburr,mm_2,4,3,1,0.25,14.319999933242798,0.12166352356465325,14.273499965667725,14.232999801635742,14.5,14.259999910990397,0.024556128105198475,15.0,20.558592500000003,6.238592566757202,0,14.25774997472763,14.335749924182892,0.07799994945526123,14.140750050544739,14.452749848365784
