param_name,group,percentile,value
duration_computed,vgr_1,0,0.006006
duration_computed,vgr_1,5,1.073488
duration_computed,vgr_1,10,1.902993
duration_computed,vgr_1,15,3.720296
duration_computed,vgr_1,20,4.878187
duration_computed,vgr_1,25,8.808553
duration_computed,vgr_1,30,11.967248
duration_computed,vgr_1,35,19.236011
duration_computed,vgr_1,40,19.5022
duration_computed,vgr_1,45,20.7773
duration_computed,vgr_1,50,26.055
duration_computed,vgr_1,55,37.252079
duration_computed,vgr_1,60,41.3184
duration_computed,vgr_1,65,43.2607
duration_computed,vgr_1,70,46.4457
duration_computed,vgr_1,75,48.29725
duration_computed,vgr_1,80,49.546653
duration_computed,vgr_1,85,51.57895
duration_computed,vgr_1,90,56.635844
duration_computed,vgr_1,95,70.501556
duration_computed,vgr_1,100,144.608659
