param_name,group,percentile,value
duration_computed,hbw_1,0,1.437514
duration_computed,hbw_1,5,1.468802
duration_computed,hbw_1,10,1.496844
duration_computed,hbw_1,15,1.515602
duration_computed,hbw_1,20,2.153114
duration_computed,hbw_1,25,2.625024
duration_computed,hbw_1,30,2.759404
duration_computed,hbw_1,35,3.012524
duration_computed,hbw_1,40,4.55625
duration_computed,hbw_1,45,6.306246
duration_computed,hbw_1,50,33.768
duration_computed,hbw_1,55,34.3617
duration_computed,hbw_1,60,36.7966
duration_computed,hbw_1,65,37.032
duration_computed,hbw_1,70,37.0636
duration_computed,hbw_1,75,37.3195
duration_computed,hbw_1,80,39.1526
duration_computed,hbw_1,85,40.2591
duration_computed,hbw_1,90,42.0578
duration_computed,hbw_1,95,44.4765
duration_computed,hbw_1,100,130.374994
