param_name,group,percentile,value
duration_ov_2,overall,0,1.474085
duration_ov_2,overall,5,4.289099
duration_ov_2,overall,10,4.53909
duration_ov_2,overall,15,4.612907
duration_ov_2,overall,20,4.653203
duration_ov_2,overall,25,4.695318
duration_ov_2,overall,30,4.740402
duration_ov_2,overall,35,4.869549
duration_ov_2,overall,40,5.459441
duration_ov_2,overall,45,5.587534
duration_ov_2,overall,50,6.757841
duration_ov_2,overall,55,26.4426
duration_ov_2,overall,60,26.5096
duration_ov_2,overall,65,27.01245
duration_ov_2,overall,70,31.418
duration_ov_2,overall,75,31.54675
duration_ov_2,overall,80,31.5566
duration_ov_2,overall,85,36.453
duration_ov_2,overall,90,36.6126
duration_ov_2,overall,95,41.4647
duration_ov_2,overall,100,41.532
