param_name,group,percentile,value
duration_hbw_1,overall,0,0.949646
duration_hbw_1,overall,5,1.510911
duration_hbw_1,overall,10,1.668707
duration_hbw_1,overall,15,1.860998
duration_hbw_1,overall,20,2.290628
duration_hbw_1,overall,25,2.445365
duration_hbw_1,overall,30,2.646904
duration_hbw_1,overall,35,2.84843
duration_hbw_1,overall,40,3.843795
duration_hbw_1,overall,45,4.37816
duration_hbw_1,overall,50,18.546831
duration_hbw_1,overall,55,32.5264
duration_hbw_1,overall,60,34.2596
duration_hbw_1,overall,65,35.2218
duration_hbw_1,overall,70,36.3476
duration_hbw_1,overall,75,37.781
duration_hbw_1,overall,80,39.3782
duration_hbw_1,overall,85,39.88
duration_hbw_1,overall,90,40.072
duration_hbw_1,overall,95,41.7625
duration_hbw_1,overall,100,48.109
