param_name,group,percentile,value
duration_vgr_1,overall,0,0.547
duration_vgr_1,overall,5,1.684358
duration_vgr_1,overall,10,2.20005
duration_vgr_1,overall,15,3.981828
duration_vgr_1,overall,20,4.778131
duration_vgr_1,overall,25,6.92187
duration_vgr_1,overall,30,12.9376
duration_vgr_1,overall,35,14.55638
duration_vgr_1,overall,40,19.4184
duration_vgr_1,overall,45,20.7848
duration_vgr_1,overall,50,24.078
duration_vgr_1,overall,55,29.612622
duration_vgr_1,overall,60,40.6216
duration_vgr_1,overall,65,42.405949
duration_vgr_1,overall,70,44.093781
duration_vgr_1,overall,75,47.266
duration_vgr_1,overall,80,48.462842
duration_vgr_1,overall,85,50.0684
duration_vgr_1,overall,90,52.099907
duration_vgr_1,overall,95,59.978051
duration_vgr_1,overall,100,76.546817
