time:timestamp,operation_end_time,lifecycle:transition,lifecycle:state,event_id,identifier:id,process_model_id,case,concept:name,requested_service_url,org:resource,planned_operation_time,parameters,case:concept:name,SubProcessID,current_task,response_status_code,complete_service_time,human_workstation_green_button_pressed,unsatisfied_condition_description
2021-06-30 15:26:23.034000+00:00,2021-06-30 15:27:03.736000+00:00,start,inProgress,1004,a_13080,WF_101,WF_101_13,/hbw/store_empty_bucket,http://136.199.130.208:5000/hbw/store_empty_bucket?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:47,"{'value': None, 'children': [('parameter_hbw_slot', 'hbw_2_automatic_pos'), ('parameter_use_nfc', 'true')]}",WF_101_13,4174bf3c-a351-4443-9959-8e0ece4729d2,storing a new empty bucket in slot 0,,,,
2021-06-30 15:26:24.427000+00:00,2021-06-30 15:27:06.376000+00:00,start,inProgress,1005,a_13088,WF_101,WF_101_13,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_1&start=dm_2_sink_pos&end=ov_1_pos&business_key=WF_101,vgr_1,0 days 00:00:46,"{'value': None, 'children': [('parameter_start_position', 'dm_2_sink_pos'), ('parameter_end_position', 'ov_1_pos')]}",WF_101_13,773676e6-28fd-42d6-8431-aa803c9affec,picking up and transporting the workpiece from the dm_2_sink to the oven,,,,
2021-06-30 15:27:04.898000+00:00,2021-06-30 15:27:04.898000+00:00,complete,success,1004,a_13080,WF_101,WF_101_13,/hbw/store_empty_bucket,http://136.199.130.208:5000/hbw/store_empty_bucket?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_101,hbw_2,0 days 00:00:47,"{'value': None, 'children': [('parameter_hbw_slot', 'hbw_2_automatic_pos'), ('parameter_use_nfc', 'true')]}",WF_101_13,,,200,0:00:45.468751,,
2021-06-30 15:27:06.175000+00:00,2021-06-30 15:27:44.909000+00:00,start,inProgress,1007,a_13093,WF_102,WF_102_14,/hbw/unload,http://136.199.130.208:5000/hbw/unload?resource=hbw_2&slot=hbw_2_automatic_pos&use_nfc=true&business_key=WF_102,hbw_2,0 days 00:00:52,"{'value': None, 'children': [('parameter_hbw_slot', 'hbw_2_automatic_pos'), ('parameter_use_nfc', 'true')]}",WF_102_14,cb8af01b-2cad-41e1-973f-11f70b1099f4,unloading a empty bucket from slot 1,,,,
2021-06-30 15:27:10.013000+00:00,2021-06-30 15:27:10.013000+00:00,complete,success,1005,a_13088,WF_101,WF_101_13,/vgr/pick_up_and_transport,http://136.199.130.208:5000/vgr/pick_up_and_transport?resource=vgr_1&start=dm_2_sink_pos&end=ov_1_pos&business_key=WF_101,vgr_1,0 days 00:00:46,"{'value': None, 'children': [('parameter_start_position', 'dm_2_sink_pos'), ('parameter_end_position', 'ov_1_pos')]}",WF_101_13,,,200,0:00:50.578171,,
2021-06-30 15:27:10.027447+00:00,2021-06-30 15:27:13.855486+00:00,scheduled,assigned,1006,a_13099,WF_101,WF_101_13,/ov/burn,http://136.199.130.208:5000/ov/burn?resource=ov_1&size=regular&thickness=thin&business_key=WF_101,ov_1,0 days 00:03:42,"{'value': None, 'children': [('parameter_burn_workpiece_size', 'regular'), ('parameter_burn_workpiece_thickness', 'thin')]}",WF_101_13,,,,,,
2021-06-30 15:27:13.862000+00:00,2021-06-30 15:27:35.174000+00:00,start,inProgress,1006,a_13099,WF_101,WF_101_13,/ov/burn,http://136.199.130.208:5000/ov/burn?resource=ov_1&size=regular&thickness=thin&business_key=WF_101,ov_1,0 days 00:03:42,"{'value': None, 'children': [('parameter_burn_workpiece_size', 'regular'), ('parameter_burn_workpiece_thickness', 'thin')]}",WF_101_13,85a554ee-ac50-4770-9351-89b1723aad95,burning the workpiece of size regular and thickness thinfor 10 seconds,,,,
2021-06-30 15:27:36.043000+00:00,2021-06-30 15:27:36.043000+00:00,complete,success,1006,a_13099,WF_101,WF_101_13,/ov/burn,http://136.199.130.208:5000/ov/burn?resource=ov_1&size=regular&thickness=thin&business_key=WF_101,ov_1,0 days 00:03:42,"{'value': None, 'children': [('parameter_burn_workpiece_size', 'regular'), ('parameter_burn_workpiece_thickness', 'thin')]}",WF_101_13,,,200,0:00:26.015553,,
2021-06-30 15:27:36.056994+00:00,2021-06-30 15:27:40.400752+00:00,scheduled,assigned,1009,a_13102,WF_101,WF_101_13,/ov/temper,http://136.199.130.208:5000/ov/temper?resource=ov_1&intensity=ov_1_temper_high&business_key=WF_101,ov_1,0 days 00:00:56,"{'value': None, 'children': [('parameter_temper_intensity', 'ov_1_temper_high')]}",WF_101_13,,,,,,
2021-06-30 15:27:40.520000+00:00,2021-06-30 15:28:32.487000+00:00,start,inProgress,1009,a_13102,WF_101,WF_101_13,/ov/temper,http://136.199.130.208:5000/ov/temper?resource=ov_1&intensity=ov_1_temper_high&business_key=WF_101,ov_1,0 days 00:00:56,"{'value': None, 'children': [('parameter_temper_intensity', 'ov_1_temper_high')]}",WF_101_13,4ba406eb-202f-41a0-8b09-b4654dc5f2f3,temper the workpiece with intensity: ov_1_temper_high for 40 seconds,,,,
